wavelength_nm,R,G,B
400,0.02,0.02,0.15
410,0.03,0.04,0.34
420,0.1,0.08,0.62
430,0.22,0.18,0.86
440,0.42,0.36,1
450,0.62,0.6,0.94
460,0.8,0.82,0.78
470,0.89,0.95,0.56
480,0.82,1,0.34
490,0.62,0.95,0.18
500,0.38,0.86,0.09
510,0.18,0.72,0.045
520,0.08,0.54,0.025
530,0.04,0.36,0.016
540,0.03,0.22,0.01
550,0.04,0.14,0.008
560,0.07,0.09,0.006
570,0.14,0.06,0.005
580,0.28,0.04,0.004
590,0.48,0.03,0.003
600,0.68,0.025,0.0025
610,0.82,0.02,0.002
620,0.88,0.016,0.0015
630,0.84,0.012,0.001
640,0.72,0.01,0.0008
650,0.54,0.008,0.0006
660,0.36,0.006,0.0005
670,0.22,0.004,0.0004
680,0.12,0.003,0.0003
690,0.06,0.002,0.0002
700,0.03,0.001,0.0001
