wavelength_nm,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60,sample_61,sample_62,sample_63,sample_64,sample_65,sample_66,sample_67,sample_68,sample_69,sample_70,sample_71,sample_72,sample_73,sample_74,sample_75,sample_76,sample_77,sample_78,sample_79,sample_80,sample_81,sample_82,sample_83,sample_84,sample_85,sample_86,sample_87,sample_88,sample_89,sample_90,sample_91,sample_92,sample_93,sample_94,sample_95,sample_96,sample_97,sample_98,sample_99,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127,sample_128,sample_129,sample_130,sample_131,sample_132,sample_133,sample_134,sample_135,sample_136,sample_137,sample_138,sample_139,sample_140,sample_141,sample_142,sample_143,sample_144,sample_145,sample_146,sample_147,sample_148,sample_149,sample_150,sample_151,sample_152,sample_153,sample_154,sample_155,sample_156,sample_157,sample_158,sample_159,sample_160,sample_161,sample_162,sample_163,sample_164,sample_165,sample_166,sample_167,sample_168,sample_169,sample_170,sample_171,sample_172,sample_173,sample_174,sample_175,sample_176,sample_177,sample_178,sample_179,sample_180,sample_181,sample_182,sample_183,sample_184,sample_185,sample_186,sample_187,sample_188,sample_189,sample_190
380,0.060000,0.064900,0.136500,0.199500,0.116100,0.119300,0.108900,0.094400,0.070000,0.054800,0.030000,0.076000,0.061200,0.090200,0.057500,0.043200,0.335500,0.066200,0.000000,0.094600,0.111900,0.098000,0.000000,0.215600,0.108900,0.000000,0.000000,0.050800,0.068400,0.021100,0.080900,0.105900,0.071600,0.094100,0.116900,0.071400,0.000000,0.048300,0.000000,0.033200,0.083400,0.133100,0.336700,0.110200,0.085000,0.073200,0.000000,0.000000,0.059600,0.033500,0.041200,0.062700,0.025800,0.285500,0.119000,0.020400,0.055000,0.049700,0.036600,0.112000,0.000000,0.111000,0.000000,0.000000,0.000000,0.100000,0.124000,0.126300,0.055200,0.098400,0.057800,0.225700,0.115500,0.090600,0.041900,0.039400,0.211500,0.105200,0.056500,0.000000,0.000000,0.047000,0.040600,0.042100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.053300,0.028500,0.029600,0.201200,0.095700,0.043900,0.042200,0.050000,0.091000,0.097000,0.032300,0.012800,0.057400,0.041000,0.033100,0.103000,0.252600,0.037300,0.066300,0.000000,0.033200,0.078000,0.154800,0.514700,0.103300,0.110300,0.277600,0.077600,0.095500,0.215500,0.107000,0.167000,0.028000,0.096800,0.520700,0.094400,0.087700,0.499500,0.312000,0.455400,0.087000,0.115200,0.037900,0.082300,0.525900,0.294000,0.089300,0.066800,0.349000,0.131500,0.105800,0.100000,0.082400,0.000000,0.250000,0.244900,0.275900,0.076200,0.210500,0.098600,0.122500,0.099300,0.096900,0.423800,0.145000,0.122000,0.000000,0.114200,0.119100,0.323600,0.366100,0.361900,0.184100,0.118100,0.282400,0.030000,0.243400,0.084000,0.275200,0.115700,0.312500,0.213900,0.102000,0.284300,0.287000,0.127600,0.115000,0.340900,0.121400,0.191600,0.111700,0.329000,0.467500,0.325200,0.125500,0.334800,0.268700,0.487400,0.000000,0.000000
385,0.050112,0.070658,0.169628,0.199500,0.145512,0.150192,0.133634,0.111628,0.078476,0.057023,0.030467,0.085575,0.064654,0.107126,0.061536,0.043480,0.336887,0.075758,0.020261,0.098245,0.141800,0.119508,0.025493,0.216586,0.135317,0.034373,0.028531,0.051010,0.071132,0.021100,0.075936,0.132922,0.079572,0.094455,0.117420,0.080665,0.012328,0.050212,0.016325,0.032699,0.083509,0.120341,0.329405,0.110663,0.098933,0.080392,0.013081,0.096841,0.059830,0.033574,0.042123,0.068573,0.022737,0.291607,0.119499,0.018600,0.058387,0.053193,0.037424,0.117331,0.042139,0.121129,0.110478,0.021418,0.032092,0.103515,0.156600,0.163773,0.055574,0.093325,0.059997,0.228615,0.117435,0.084535,0.044210,0.039432,0.217739,0.101902,0.056639,0.008212,0.020714,0.048989,0.039943,0.042582,0.061018,0.023287,0.019037,0.021836,0.019534,0.018557,0.049703,0.029210,0.030680,0.216733,0.104867,0.045560,0.042724,0.053870,0.108842,0.097382,0.032403,0.014263,0.061648,0.042360,0.033208,0.107017,0.248985,0.034600,0.075575,0.115448,0.043799,0.078318,0.153010,0.515136,0.095328,0.139074,0.288502,0.077948,0.127005,0.216324,0.132605,0.180682,0.034543,0.109759,0.520384,0.107181,0.102008,0.499033,0.313877,0.454824,0.110118,0.145974,0.060287,0.091605,0.525242,0.295135,0.107181,0.066022,0.348445,0.169928,0.135100,0.117213,0.098256,0.266264,0.293032,0.245171,0.300500,0.079254,0.210253,0.124363,0.152947,0.123412,0.121080,0.441706,0.147361,0.158583,0.058848,0.151562,0.154113,0.323532,0.397403,0.360966,0.205872,0.124707,0.300032,0.031469,0.255879,0.105448,0.287287,0.153438,0.330460,0.229106,0.125982,0.310341,0.304494,0.164616,0.121543,0.368649,0.150064,0.206470,0.113661,0.328686,0.466489,0.342805,0.163105,0.334902,0.269927,0.487264,0.047582,0.068164
390,0.041800,0.075800,0.225100,0.199500,0.193400,0.192300,0.163800,0.130200,0.086900,0.059200,0.030600,0.094600,0.067700,0.124700,0.065200,0.043500,0.336000,0.089600,0.029500,0.103100,0.180100,0.136900,0.036500,0.216300,0.160100,0.050000,0.041500,0.051100,0.075700,0.021100,0.071600,0.163600,0.085500,0.094400,0.117300,0.088800,0.019500,0.051600,0.023600,0.032500,0.083600,0.108800,0.323500,0.110500,0.111000,0.086000,0.018800,0.139700,0.059800,0.033800,0.042900,0.074200,0.020100,0.295500,0.120000,0.017000,0.061000,0.056100,0.038300,0.123000,0.064100,0.129000,0.161600,0.030800,0.050100,0.107000,0.203400,0.212900,0.056000,0.088800,0.061800,0.229400,0.118500,0.079400,0.046400,0.039600,0.220300,0.097500,0.056600,0.011900,0.030000,0.051000,0.039700,0.043200,0.090400,0.033700,0.028900,0.031700,0.028400,0.029100,0.046100,0.029300,0.030900,0.228100,0.109700,0.047100,0.043300,0.057000,0.127300,0.097300,0.032400,0.015600,0.065300,0.044000,0.033200,0.111000,0.242900,0.032700,0.084200,0.168900,0.053500,0.078300,0.152500,0.516200,0.088100,0.169900,0.303200,0.077900,0.156600,0.216200,0.167900,0.194100,0.041700,0.123200,0.522200,0.119800,0.117300,0.501000,0.316000,0.456800,0.136900,0.191100,0.087100,0.100900,0.527500,0.294800,0.127900,0.065800,0.350100,0.233200,0.175300,0.134000,0.118200,0.401300,0.335000,0.245700,0.327300,0.081900,0.211200,0.160300,0.203400,0.150300,0.154900,0.457100,0.152000,0.214400,0.107100,0.201400,0.214100,0.324600,0.428500,0.363000,0.229800,0.131400,0.320400,0.032900,0.268600,0.128900,0.298700,0.206400,0.347200,0.241100,0.154800,0.333900,0.316000,0.225300,0.126000,0.393400,0.185200,0.225800,0.116200,0.330000,0.468900,0.357800,0.216700,0.335800,0.269500,0.488800,0.083200,0.127900
395,0.035100,0.080134,0.304772,0.199500,0.262100,0.246846,0.199463,0.149595,0.094877,0.061124,0.030511,0.103439,0.070429,0.143680,0.068588,0.043194,0.328423,0.109330,0.028950,0.109142,0.229313,0.151554,0.033264,0.207760,0.185112,0.049793,0.041346,0.051090,0.082354,0.021000,0.067920,0.200137,0.089572,0.088333,0.109059,0.096204,0.021500,0.052481,0.022952,0.032606,0.084482,0.098443,0.318879,0.100608,0.121828,0.090313,0.017753,0.133655,0.053617,0.034219,0.043624,0.079771,0.017906,0.296948,0.120501,0.015613,0.063003,0.058386,0.039263,0.129082,0.067423,0.134505,0.162543,0.029210,0.054573,0.110483,0.267963,0.276670,0.056507,0.084831,0.063221,0.227692,0.118757,0.075263,0.048564,0.039976,0.219514,0.091730,0.050236,0.011651,0.029257,0.053497,0.039849,0.043989,0.092573,0.032921,0.030497,0.031384,0.028305,0.031725,0.042400,0.028433,0.029885,0.235023,0.110639,0.048558,0.043944,0.059381,0.147248,0.090142,0.028557,0.016762,0.068347,0.045997,0.029973,0.114980,0.234159,0.031625,0.092317,0.169869,0.062564,0.074030,0.153293,0.517201,0.081605,0.204413,0.321916,0.073849,0.184809,0.211922,0.215857,0.207064,0.049365,0.137017,0.527769,0.132465,0.134086,0.507974,0.318373,0.463493,0.168567,0.252828,0.119287,0.110284,0.534957,0.289118,0.151401,0.066227,0.358048,0.324384,0.228571,0.150645,0.142942,0.404498,0.376614,0.248040,0.356810,0.084049,0.216286,0.207425,0.275780,0.180531,0.199855,0.469970,0.159008,0.292338,0.142695,0.266234,0.302114,0.330252,0.459466,0.374506,0.255056,0.138055,0.343253,0.034215,0.281468,0.155815,0.309146,0.278958,0.362487,0.249813,0.188195,0.355153,0.322523,0.312995,0.128756,0.414980,0.229423,0.246775,0.119390,0.334564,0.477656,0.369901,0.290882,0.337984,0.261200,0.493182,0.103777,0.175946
400,0.029900,0.083300,0.402600,0.199500,0.341900,0.303400,0.233400,0.166400,0.101300,0.062500,0.030400,0.110600,0.072500,0.160500,0.071200,0.042900,0.316400,0.129400,0.028100,0.116500,0.278100,0.158900,0.030000,0.191300,0.203600,0.049500,0.041000,0.051000,0.090300,0.020900,0.064800,0.234000,0.091200,0.077900,0.094300,0.101300,0.022000,0.052800,0.021900,0.032800,0.090500,0.089400,0.315900,0.085000,0.128300,0.092300,0.016200,0.123200,0.044300,0.034700,0.044000,0.084300,0.016100,0.298100,0.121000,0.014400,0.063900,0.060000,0.040200,0.135000,0.068700,0.138000,0.162100,0.026800,0.055500,0.114000,0.337100,0.339200,0.057000,0.081400,0.064200,0.225000,0.118900,0.071900,0.050400,0.040400,0.218300,0.085500,0.040700,0.011400,0.028500,0.055000,0.040100,0.044700,0.092900,0.031700,0.030800,0.030900,0.028200,0.032500,0.038900,0.026900,0.028000,0.239000,0.110700,0.049800,0.044600,0.061000,0.164900,0.078900,0.022800,0.017900,0.070800,0.048000,0.025200,0.119000,0.223500,0.031300,0.098900,0.169300,0.070000,0.067000,0.156200,0.517200,0.075800,0.235400,0.345400,0.067500,0.209500,0.204400,0.262900,0.221900,0.057900,0.151700,0.535600,0.144500,0.150000,0.519100,0.321000,0.472000,0.199100,0.320700,0.153500,0.119000,0.546300,0.279000,0.178100,0.067200,0.370000,0.431400,0.284200,0.168000,0.169400,0.368100,0.420000,0.258000,0.395000,0.086000,0.223600,0.257300,0.363000,0.209200,0.246900,0.479800,0.168000,0.377300,0.172500,0.330500,0.406700,0.341600,0.493600,0.391700,0.290500,0.145200,0.380000,0.035700,0.294600,0.181000,0.320900,0.353700,0.379500,0.256300,0.219400,0.378600,0.345000,0.413500,0.138000,0.438700,0.272500,0.285600,0.123000,0.340700,0.490800,0.383700,0.366800,0.341500,0.245200,0.499900,0.119000,0.223200
405,0.026231,0.085093,0.516090,0.199500,0.424882,0.351834,0.258730,0.177615,0.105309,0.063151,0.030402,0.114363,0.073432,0.171414,0.072391,0.042930,0.305226,0.144536,0.028070,0.125793,0.316251,0.159186,0.030409,0.171741,0.209956,0.049525,0.040796,0.050411,0.099231,0.020900,0.062112,0.258439,0.090415,0.068201,0.079122,0.103008,0.022971,0.052507,0.021160,0.032981,0.108986,0.081861,0.314740,0.073553,0.129538,0.092036,0.015453,0.115551,0.038710,0.035106,0.043983,0.086624,0.014644,0.301362,0.121497,0.013300,0.063905,0.060874,0.040988,0.140063,0.077350,0.139678,0.160819,0.025421,0.056398,0.117756,0.399898,0.385591,0.057319,0.078524,0.064580,0.223117,0.119550,0.069119,0.051470,0.040719,0.217879,0.079603,0.035060,0.011462,0.028572,0.055008,0.040296,0.045043,0.094323,0.030941,0.031365,0.030622,0.028649,0.034648,0.035880,0.025437,0.025962,0.241436,0.108190,0.050601,0.045213,0.061631,0.176275,0.070718,0.019449,0.019156,0.072601,0.049705,0.022612,0.123271,0.211196,0.031569,0.102728,0.169135,0.075075,0.061191,0.162000,0.513140,0.070591,0.255275,0.374936,0.062977,0.228655,0.196798,0.295615,0.241073,0.067786,0.168056,0.543652,0.155691,0.162613,0.532252,0.323881,0.478803,0.222597,0.385452,0.187102,0.126305,0.559003,0.267662,0.209077,0.068388,0.381279,0.544536,0.332187,0.186717,0.195055,0.345313,0.466788,0.280222,0.448448,0.087945,0.229806,0.301620,0.460276,0.231491,0.287429,0.486214,0.178434,0.454830,0.203861,0.379001,0.519139,0.358769,0.534603,0.407231,0.346550,0.153586,0.443198,0.037834,0.308137,0.201411,0.336510,0.414756,0.401799,0.261969,0.242033,0.408837,0.409185,0.514415,0.163924,0.470159,0.304612,0.362462,0.127117,0.345984,0.504835,0.404163,0.428553,0.346501,0.225795,0.508117,0.139597,0.283095
410,0.023700,0.086200,0.623000,0.199500,0.496600,0.388300,0.275600,0.184600,0.107800,0.063500,0.030500,0.116100,0.073800,0.178500,0.072900,0.043100,0.294300,0.155500,0.028200,0.135400,0.341800,0.158900,0.031300,0.150500,0.210700,0.049700,0.040600,0.049700,0.107900,0.020900,0.060000,0.270600,0.088800,0.058900,0.064100,0.103200,0.023600,0.052000,0.020500,0.033200,0.131400,0.075600,0.314700,0.063500,0.129300,0.091100,0.014900,0.109600,0.034400,0.035500,0.043900,0.087800,0.013500,0.304900,0.122000,0.012400,0.063900,0.061400,0.041700,0.145000,0.089300,0.140000,0.159000,0.024400,0.056800,0.121000,0.449600,0.414900,0.057700,0.076100,0.064700,0.221100,0.120300,0.066900,0.052300,0.041000,0.217200,0.074100,0.030900,0.011900,0.028800,0.055000,0.040500,0.045300,0.096400,0.030300,0.031800,0.030500,0.029600,0.037300,0.033300,0.023900,0.023900,0.242200,0.103700,0.051300,0.045800,0.062000,0.183500,0.063900,0.017000,0.020500,0.074000,0.051000,0.020700,0.127000,0.198700,0.032100,0.105100,0.169400,0.077400,0.055900,0.169300,0.505600,0.066200,0.268100,0.406500,0.059000,0.242500,0.188900,0.316900,0.263000,0.078500,0.184800,0.550900,0.164600,0.173000,0.546300,0.327000,0.482400,0.240300,0.438900,0.217400,0.132500,0.572500,0.256900,0.241600,0.070200,0.392500,0.642500,0.369400,0.202000,0.218000,0.331900,0.505000,0.311300,0.507000,0.090300,0.234800,0.334800,0.548900,0.249300,0.318900,0.488700,0.191000,0.515500,0.232300,0.412100,0.618000,0.376600,0.578900,0.420400,0.411300,0.162300,0.521700,0.039900,0.322600,0.211900,0.354200,0.458500,0.426600,0.264600,0.256000,0.442400,0.474000,0.597600,0.190000,0.505600,0.327400,0.455800,0.130800,0.350700,0.517400,0.427800,0.468200,0.352300,0.204400,0.516800,0.158700,0.341800
415,0.022000,0.087301,0.696941,0.199500,0.539288,0.408065,0.284165,0.188862,0.109718,0.063966,0.030678,0.116886,0.074051,0.182660,0.073335,0.043431,0.283170,0.160398,0.028339,0.144033,0.351432,0.155734,0.032415,0.130641,0.207123,0.050078,0.040303,0.049474,0.115950,0.021194,0.058725,0.271833,0.086766,0.051624,0.052096,0.102203,0.023257,0.051524,0.019926,0.033500,0.150593,0.070532,0.316788,0.055476,0.127423,0.089501,0.014332,0.106784,0.031301,0.035913,0.043724,0.088590,0.012663,0.307534,0.122623,0.011819,0.063899,0.061975,0.042381,0.150486,0.097774,0.139820,0.156927,0.023713,0.053497,0.122892,0.474692,0.425480,0.058369,0.074119,0.064902,0.218705,0.120620,0.065144,0.053243,0.041262,0.215601,0.069451,0.028338,0.012931,0.029260,0.055247,0.040742,0.045754,0.097762,0.029719,0.031802,0.030794,0.030850,0.039551,0.031307,0.022337,0.022237,0.241925,0.099180,0.052149,0.046338,0.062880,0.187467,0.059331,0.015481,0.021994,0.075207,0.051497,0.019169,0.129071,0.187616,0.032681,0.106958,0.170229,0.077663,0.051793,0.176897,0.496639,0.062892,0.275417,0.436245,0.055607,0.250604,0.181214,0.325670,0.286861,0.089552,0.200927,0.555564,0.169565,0.181321,0.559528,0.330333,0.481302,0.251588,0.470160,0.240369,0.137688,0.585669,0.249839,0.272933,0.072900,0.403076,0.699527,0.390149,0.209133,0.235088,0.316805,0.522848,0.350578,0.560463,0.094287,0.237264,0.350526,0.606450,0.263751,0.337299,0.486573,0.206493,0.547590,0.254874,0.428350,0.677144,0.390407,0.623812,0.428347,0.474477,0.170934,0.606340,0.041403,0.341175,0.212374,0.373492,0.476625,0.452534,0.260893,0.261660,0.476651,0.499168,0.641122,0.199974,0.542971,0.339546,0.549495,0.133122,0.354759,0.525342,0.452965,0.479726,0.358261,0.183795,0.524659,0.173895,0.388012
420,0.020900,0.088200,0.741500,0.199500,0.561100,0.416600,0.287900,0.191200,0.111000,0.064400,0.030800,0.117000,0.074100,0.184800,0.073500,0.043800,0.276600,0.163100,0.028500,0.151200,0.352400,0.150900,0.033700,0.111800,0.201500,0.050500,0.040000,0.049400,0.120300,0.021800,0.057800,0.271400,0.084700,0.045500,0.042200,0.100400,0.022500,0.051100,0.019400,0.033800,0.162700,0.066400,0.320100,0.049000,0.124700,0.087800,0.013800,0.104900,0.029100,0.036300,0.043500,0.088900,0.012000,0.308600,0.123000,0.011400,0.063900,0.062400,0.043000,0.156000,0.104400,0.139000,0.155600,0.023200,0.050200,0.124000,0.484600,0.426600,0.059200,0.072300,0.065000,0.215200,0.120600,0.063900,0.054400,0.041500,0.212700,0.065200,0.026800,0.014400,0.029700,0.056000,0.041000,0.046100,0.098900,0.029200,0.031800,0.031300,0.032200,0.041500,0.029600,0.020900,0.020800,0.240000,0.094400,0.053200,0.046900,0.063900,0.189000,0.056300,0.014600,0.023500,0.076300,0.052000,0.018100,0.131000,0.177600,0.033400,0.108600,0.171400,0.077600,0.048700,0.184900,0.486800,0.060400,0.280300,0.462200,0.052900,0.253900,0.174700,0.329000,0.310600,0.101300,0.216000,0.559200,0.171200,0.188800,0.571800,0.334000,0.478600,0.260500,0.487400,0.259200,0.141900,0.597700,0.245100,0.303500,0.076600,0.412400,0.727000,0.402900,0.212000,0.249200,0.301100,0.530000,0.392000,0.603200,0.097200,0.237800,0.353700,0.638000,0.276200,0.348900,0.479700,0.224000,0.561900,0.273000,0.434000,0.707400,0.397100,0.661600,0.431200,0.528400,0.178500,0.679800,0.042100,0.353600,0.211900,0.391000,0.478900,0.475300,0.252900,0.261800,0.507700,0.502000,0.657100,0.201000,0.576200,0.343100,0.627200,0.134000,0.356800,0.528500,0.474900,0.479500,0.364300,0.163900,0.531900,0.181500,0.422600
425,0.020056,0.088641,0.761492,0.199500,0.571330,0.420144,0.290226,0.192290,0.111523,0.064615,0.030763,0.116555,0.073737,0.185832,0.073406,0.044051,0.276366,0.166911,0.028741,0.156271,0.349660,0.147068,0.035292,0.094481,0.197070,0.050830,0.039774,0.049326,0.119850,0.022512,0.056819,0.268330,0.083142,0.040163,0.034625,0.098412,0.021450,0.050850,0.018887,0.034013,0.165049,0.062882,0.322749,0.043888,0.122449,0.086536,0.013275,0.101924,0.027469,0.036600,0.043257,0.088963,0.011331,0.305334,0.123000,0.011006,0.063900,0.062528,0.043531,0.161142,0.108381,0.137006,0.155957,0.022694,0.051099,0.124628,0.488387,0.425692,0.060088,0.070263,0.064618,0.209278,0.118687,0.063207,0.055975,0.041694,0.207481,0.060826,0.025644,0.016356,0.029830,0.057378,0.041251,0.046159,0.099881,0.028706,0.031337,0.031769,0.033381,0.042888,0.027806,0.019775,0.019525,0.235160,0.089575,0.054582,0.047555,0.065002,0.189508,0.054308,0.014056,0.024839,0.077360,0.053307,0.017488,0.134114,0.168536,0.034244,0.110508,0.172524,0.076523,0.046676,0.192843,0.476783,0.058316,0.286086,0.481861,0.050834,0.254599,0.170335,0.333539,0.331881,0.113914,0.228844,0.563014,0.170476,0.196532,0.582647,0.338141,0.475519,0.270912,0.498857,0.276627,0.145040,0.607533,0.242071,0.332946,0.081460,0.419683,0.738932,0.415779,0.214958,0.262476,0.287238,0.537331,0.429953,0.629948,0.097559,0.235324,0.350337,0.651097,0.287959,0.359838,0.467575,0.243141,0.570359,0.287614,0.435864,0.721722,0.393039,0.683950,0.428034,0.564325,0.184302,0.723584,0.041660,0.354874,0.206718,0.402699,0.473545,0.489722,0.242562,0.259179,0.531442,0.499387,0.660840,0.200029,0.598628,0.341337,0.668562,0.131106,0.355343,0.526896,0.488115,0.474398,0.370282,0.145373,0.538566,0.181772,0.444848
