wavelength_nm,R,G,B
400,0.01,0.015,0.08
410,0.015,0.025,0.2
420,0.03,0.05,0.42
430,0.07,0.11,0.68
440,0.14,0.24,0.88
450,0.24,0.44,0.96
460,0.38,0.68,1
470,0.52,0.86,0.86
480,0.62,0.96,0.62
490,0.58,1,0.36
500,0.44,0.96,0.18
510,0.28,0.82,0.08
520,0.16,0.62,0.035
530,0.1,0.4,0.018
540,0.12,0.23,0.011
550,0.2,0.13,0.008
560,0.34,0.08,0.006
570,0.52,0.05,0.004
580,0.7,0.035,0.003
590,0.84,0.025,0.002
600,0.92,0.018,0.0016
610,0.94,0.014,0.0012
620,0.9,0.01,0.0009
630,0.82,0.008,0.0007
640,0.7,0.006,0.0005
650,0.56,0.0045,0.0004
660,0.42,0.0035,0.0003
670,0.3,0.0025,0.0002
680,0.2,0.0018,0.00015
690,0.12,0.0012,0.0001
700,0.06,0.0008,5e-05
